County;Eligible;Total Registered;Democratic;Republican;American Independent;Green;Libertarian;Peace and Freedom;Unknown;Other;No Party Preference
Alameda;1’143’813;939’302;566’278;102’098;21’228;5’481;6’261;4’144;11;5’683;228’118
Alpine;1’013;917;394;215;51;7;18;3;2;4;223
Amador;29’520;26’343;7’230;12’316;1’377;112;494;85;31;128;4’570
Butte;166’511;123’481;43’483;44’160;5’640;728;1’948;584;957;1’047;24’934
Calaveras;36’632;31’985;8’523;14’771;1’780;155;587;123;132;300;5’614
Colusa;13’206;10’095;3’235;4’057;351;26;133;56;0;16;2’221
Contra Costa;805’244;705’675;378’323;129’189;23’616;2’962;6’320;3’046;2’708;3’340;156’171
Del Norte;19’262;15’256;4’575;6’051;859;96;228;95;10;45;3’297
El Dorado;145’249;137’610;42’522;55’626;6’768;711;2’650;435;12;1’073;27’813
Fresno;642’055;498’759;197’571;160’435;19’346;1’667;5’044;3’041;2’938;5’164;103’553
Glenn;18’876;14’398;4’028;6’430;638;39;189;78;11;78;2’907
Humboldt;107’145;85’420;39’639;20’183;3’236;1’412;1’260;493;568;693;17’936
Imperial;109’865;87’080;41’664;18’139;2’549;277;665;774;1’041;452;21’519
Inyo;14’621;10’851;3’707;4’237;469;27;150;47;89;104;2’021
Kern;559’061;437’535;152’226;158’912;18’599;1’311;5’452;2’942;5’099;2’221;90’773
Kings;87’020;61’588;20’683;23’983;2’456;175;814;362;419;335;12’361
Lake;51’309;37’433;14’276;11’344;2’044;313;515;276;97;150;8’418
Lassen;21’416;15’192;2’617;8’416;959;46;252;71;18;87;2’726
Los Angeles;6’677’886;5’615’370;2’998’541;962’562;159’340;23’435;45’408;36’029;42’771;40’967;1’306’317
Madera;93’606;71’979;23’808;27’807;3’133;237;835;489;591;463;14’616
Marin;186’687;170’855;105’859;21’262;4’819;1’040;1’366;352;535;932;34’690
Mariposa;13’820;11’630;3’239;5’341;560;59;164;47;37;105;2’078
Mendocino;67’327;53’555;26’188;11’223;2’279;808;747;375;318;107;11’510
Merced;171’571;123’943;53’322;35’021;4’977;433;1’325;868;178;607;27’212
Modoc;6’713;5’190;1’056;2’837;298;18;64;25;5;19;868
Mono;9’375;7’889;3’136;2’331;321;57;112;35;4;29;1’864
Monterey;251’777;208’274;109’431;41’093;6’592;986;1’966;1’140;2’262;408;44’396
Napa;97’727;84’163;42’382;17’907;3’167;475;1’026;339;614;414;17’839
Nevada;82’123;75’406;29’874;24’269;3’335;716;1’214;298;33;4’569;11’098
Orange;2’205’404;1’809’947;676’493;603’559;60’748;5’860;20’985;7’330;1’970;4’910;428’092
Placer;301’000;276’046;87’025;111’861;11’794;969;5’082;710;1’665;1’791;55’149
Plumas;15’464;13’812;3’914;6’117;755;65;197;58;9;45;2’652
Riverside;1’634’639;1’304’257;526’380;410’843;54’241;4’323;14’663;7’633;4’472;11’711;269’991
Sacramento;1’113’693;864’575;396’365;215’946;34’523;3’829;11’253;5’156;4’934;6’019;186’550
San Benito;43’361;37’332;17’868;9’579;1’371;145;423;190;34;158;7’564
San Bernardino;1’471’817;1’138’004;469’763;332’550;50’235;4’128;12’318;8’357;5’490;10’651;244’512
San Diego;2’349’594;1’932’683;797’635;523’541;76’360;7’560;23’510;8’991;9’077;7’372;478’637
San Francisco;662’363;496’649;312’624;33’426;8’979;2’745;3’033;1’807;4’413;3’411;126’211
San Joaquin;508’961;383’636;168’157;107’170;14’807;1’225;4’006;2’556;3’223;2’811;79’681
San Luis Obispo;220’749;181’894;69’485;62’557;7’370;988;2’547;597;767;1’710;35’873
San Mateo;517’795;433’638;242’837;60’646;10’964;1’777;3’221;1’427;2’542;2’839;107’385
Santa Barbara;303’414;235’212;110’734;58’341;8’340;1’150;2’505;1’087;1’695;1’618;49’742
Santa Clara;1’263’458;1’001’791;510’260;165’604;25’215;3’786;8’331;4’263;240;3’003;281’089
Santa Cruz;197’657;167’803;100’426;22’925;4’662;1’437;1’924;738;208;1’238;34’245
Shasta;138’776;112’401;25’589;55’670;5’721;439;1’720;477;82;804;21’899
Sierra;2’671;2’240;614;977;131;14;32;3;1;44;424
Siskiyou;35’020;28’935;8’517;11’827;1’583;176;477;159;209;82;5’905
Solano;319’344;260’156;126’918;57’140;9’785;1’049;2’875;1’419;784;1’582;58’604
Sonoma;357’616;304’003;172’437;53’148;9’938;2’318;3’622;1’153;2’197;1’655;57’535
Stanislaus;364’231;282’212;109’852;97’183;11’300;848;3’191;1’606;2’033;2’351;53’848
Sutter;65’599;52’297;16’215;21’124;2’201;144;651;263;323;5’091;6’285
Tehama;47’064;37’811;8’913;17’683;2’081;51;538;183;39;356;7’967
Trinity;13’178;7’453;2’361;2’684;413;77;130;54;68;71;1’595
Tulare;287’636;206’897;69’262;77’113;8’697;640;2’386;1’342;1’700;1’577;44’180
Tuolumne;43’621;35’221;10’258;15’500;1’861;145;596;140;10;62;6’649
Ventura;586’776;506’453;220’222;143’271;18’399;2’021;5’547;2’151;3’113;5’722;106’007
Yolo;153’957;119’826;61’396;23’675;4’058;695;1’311;531;3;89;28’068
Yuba;56’381;40’854;11’654;16’099;2’237;157;650;281;392;373;9’011